Title,Genre,Run Time,Rating,Number of Votes,Year,Certificate,Synopsis,Actors,Image
Harley Quinn,"Animation, Action, Adventure",23 min,8.5,"35,332",(2019– ),Certificate N/A,"The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City.","Kaley Cuoco, Lake Bell, Alan Tudyk, Ron Funches",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Trek: The Next Generation,"Action, Adventure, Sci-Fi",44 min,8.7,"130,222",(1987–1994),G,"Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers sets off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before.","Patrick Stewart, Brent Spiner, Jonathan Frakes, LeVar Burton",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Once Upon a Time,"Adventure, Fantasy, Romance",60 min,7.7,"231,849",(2011–2018),Certificate N/A,A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,"Ginnifer Goodwin, Jennifer Morrison, Lana Parrilla, Robert Carlyle",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Lord of the Rings: The Rings of Power,"Action, Adventure, Drama",Run Time N/A,7.0,"337,747",(2022– ),Certificate N/A,"Epic drama set thousands of years before the events of J.R.R. Tolkien's 'The Hobbit' and 'The Lord of the Rings' follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil to Middle-earth.","Morfydd Clark, Mike Wood, Ismael Cruz Cordova, Charlie Vickers",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Smallville,"Action, Adventure, Drama",60 min,7.5,"134,240",(2001–2011),Certificate N/A,"A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas.","Tom Welling, Michael Rosenbaum, Allison Mack, Kristin Kreuk",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Trek,"Action, Adventure, Sci-Fi",50 min,8.4,"89,380",(1966–1969),Certificate N/A,"In the 23rd Century, Captain James T. Kirk and the crew of the U.S.S. Enterprise explore the galaxy and defend the United Federation of Planets.","William Shatner, Leonard Nimoy, DeForest Kelley, Nichelle Nichols",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Loki,"Action, Adventure, Fantasy",53 min,8.2,"354,628",(2021– ),Certificate N/A,The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.”,"Tom Hiddleston, Owen Wilson, Gugu Mbatha-Raw, Sophia Di Martino",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
S.W.A.T.,"Action, Adventure, Crime",43 min,7.2,"29,293",(2017–2023),Certificate N/A,Follows a locally born and bred S.W.A.T. sergeant and his team of highly-trained men and women as they solve crimes in Los Angeles.,"Shemar Moore, Alex Russell, Kenny Johnson, Jay Harrington",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Invincible,"Animation, Action, Adventure",50 min,8.7,"164,412",(2021– ),Certificate N/A,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,"Steven Yeun, J.K. Simmons, Sandra Oh, Zazie Beetz",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Walking Dead: Dead City,"Adventure, Horror, Thriller",46 min,7.3,"12,669",(2023– ),Certificate N/A,Maggie and Negan travel into a post-apocalyptic Manhattan long ago cut off from the mainland. The city is filled with the dead and denizens who have made New York City their own world.,"Jeffrey Dean Morgan, Lauren Cohan, Gaius Charles, Mahina Napoleon",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Kimetsu no Yaiba,"Animation, Action, Adventure",24 min,8.6,"131,558",(2019– ),Certificate N/A,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.","Natsuki Hanae, Zach Aguilar, Abby Trott, Akari Kitô",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Trek: Discovery,"Action, Adventure, Drama",60 min,7.1,"129,525",(2017–2024),Certificate N/A,"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.","Sonequa Martin-Green, Doug Jones, Anthony Rapp, Emily Coutts",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Trek: Deep Space Nine,"Action, Adventure, Drama",45 min,8.1,"67,911",(1993–1999),Certificate N/A,"In the vicinity of the liberated planet of Bajor, the Federation space station Deep Space Nine guards the opening of a stable wormhole to the far side of the galaxy.","Avery Brooks, Rene Auberjonois, Cirroc Lofton, Alexander Siddig",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Disenchantment,"Animation, Action, Adventure",30 min,7.2,"68,037",(2018–2023),Certificate N/A,"Princess Tiabeanie, 'Bean', is annoyed at her imminent arranged marriage to Prince Merkimer. Then she meets Luci, a demon, and Elfo, an elf, and things get rather exciting, and dangerous.","Abbi Jacobson, Eric André, Nat Faxon, John DiMaggio",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Our Flag Means Death,"Action, Adventure, Biography",30 min,7.8,"32,399",(2022– ),Certificate N/A,The year is 1717. Wealthy land-owner Stede Bonnet has a midlife crisis and decides to blow up his cushy life to become a pirate. It does not go well. Based on a true story.,"Rhys Darby, Joel Fry, Samson Kayo, Nathan Foad",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Solar Opposites,"Animation, Adventure, Comedy",22 min,8.0,"28,360",(2020– ),Certificate N/A,"A family of aliens move to middle America, where they debate whether life is better there or on their home planet.","Thomas Middleditch, Sean Giambrone, Mary Mack, Sagan McMahan",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
My Adventures with Superman,"Animation, Action, Adventure",23 min,7.8,"3,949",(2023– ),Certificate N/A,"Clark Kent builds his secret Superman identity and embraces his role as the hero of Metropolis, while sharing adventures and falling in love with Lois, a star investigative journalist, who also takes Jimmy Olsen under her wing.","Jack Quaid, Alice Lee, Ishmel Sahid, Darrell Brown",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Superman & Lois,"Action, Adventure, Drama",42 min,7.8,"37,873",(2021– ),Certificate N/A,"The world's most famous superhero and comic books' most famous journalist face the pressures and complexities that come with balancing work, justice, and parenthood in today's society.","Tyler Hoechlin, Elizabeth Tulloch, Alex Garfin, Erik Valdez",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Chosen One,"Action, Adventure, Drama",45 min,5.6,"1,306",(2023– ),Certificate N/A,"Jodie, a 12-year-old boy living in Baja California Sur, discovers he has Jesus-like powers; he must decide whether to answer his calling and fulfill his destiny.","Bobby Luhnow, Lilith Curiel, Juanito Anguamea, Jorge Javier Arballo",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Spartacus: Blood and Sand,"Action, Adventure, Biography",55 min,8.5,"250,361",(2010–2013),Certificate N/A,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.","Andy Whitfield, Lucy Lawless, Manu Bennett, Daniel Feuerriegel",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Arrow,"Action, Adventure, Crime",42 min,7.5,"440,766",(2012–2020),Certificate N/A,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.","Stephen Amell, Katie Cassidy, David Ramsey, Susanna Thompson",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Adventure Time,"Animation, Action, Adventure",11 min,8.6,"104,891",(2010–2018),Certificate N/A,"A twelve-year-old boy and his best friend, a wise twenty-eight-year-old dog with magical powers, go on a series of surreal adventures in a remote future.","John DiMaggio, Jeremy Shada, Tom Kenny, Hynden Walch",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Titans,"Action, Adventure, Crime",45 min,7.5,"109,890",(I) (2018–2023),Certificate N/A,"Dick and Rachel, a girl possessed by a strange darkness, get embroiled in a conspiracy that could bring Hell on Earth. Joining them along the way are the hot-headed Starfire and lovable Beast Boy. Together they become a team of heroes.","Brenton Thwaites, Anna Diop, Ryan Potter, Teagan Croft",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Trek: Voyager,"Action, Adventure, Sci-Fi",44 min,7.8,"74,313",(1995–2001),Certificate N/A,"Pulled to the far side of the galaxy, where the Federation is seventy-five years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home.","Kate Mulgrew, Robert Beltran, Roxann Dawson, Robert Duncan McNeill",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
