Title,Genre,Run Time,Rating,Number of Votes,Year,Certificate,Synopsis,Actors,Image
Noble House,"Action, Adventure, Drama",355 min,7.6,"1,571",(1988),Certificate N/A,"Ian Struan Dunross is chairman of Struan & Company, the oldest and largest of the British-East Asia trading companies. To the Chinese, that also makes him ""Tai-Pan"" (""supreme leader"") of ...                See full summary »","Pierce Brosnan, Deborah Raffin, Ben Masters, John Rhys-Davies",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Owari No Seraph,"Animation, Action, Adventure",24 min,7.4,"6,254",(2015),Certificate N/A,"In 2012, the world allegedly comes to an end at the hands of a human-made virus, ravaging the global populace and leaving only children untouched. It is at this time that vampires emerge from the recesses of the earth.","Miyu Irino, Micah Solusod, Saori Hayami, Nobuhiko Okamoto",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Bravest Warriors,"Animation, Action, Adventure",5 min,8.1,"3,626",(2009–2018),Certificate N/A,Four teenage heroes-for-hire warp through the universe to save adorable aliens and their worlds using the power of their emotions.,"Liliana Mumy, John Omohundro, Ian Jones-Quartey, Graeme Jokic",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Sonic Boom,"Animation, Short, Action",11 min,6.8,"6,785",(2014–2017),Certificate N/A,"23 years after the original Sonic the Hedgehog video game, fast, handsome, and arrogant hero Sonic continues to fight his arch nemesis, Dr. Eggman. Along with Tails, Knuckles, Amy, and a new recruit named Sticks.","Roger Craig Smith, Cindy Robinson, Colleen O'Shaughnessey, Travis Willingham",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Kureimoa,"Animation, Action, Adventure",24 min,8.0,"14,620",(2007),Certificate N/A,"In a world rife with deadly creatures called ""youma"", a young silver eyed woman, Clare, works on behalf of an organization that trains female youma halfbreeds into warriors with the ability...                See full summary »","Todd Haberkorn, Stephanie Young, Houko Kuwashima, Cherami Leigh",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Aladdin,"Animation, Action, Adventure",30 min,7.3,"12,476",(1994–1995),Certificate N/A,"Aladdin, the clever hero of Agrabah, continues his adventures with the help of his fiancee Princess Jasmine, his pet monkey Abu, Magic Carpet, Iago the greedy parrot, and of course his best friend the semi-cosmic Genie.","Scott Weinger, Linda Larkin, Dan Castellaneta, Frank Welker",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Sonic X,"Animation, Action, Adventure",30 min,6.2,"5,240",(2003–2006),Certificate N/A,"A slight malfunction causes Chaos Control, and sends Sonic the Hedgehog to Earth. While there, Sonic meets Chris Thorndyke, who aids at collecting the Chaos Emeralds, so Sonic and friends can go home.","Gabriella Lewis, Jun'ichi Kanemaru, Sanae Kobayashi, Jason Griffith",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Black Dynamite,"Animation, Action, Adventure",22 min,8.1,"4,775",(2011–2015),Certificate N/A,"Action comedy-spoof that follows ex-C. I. A. Agent and full-time ladies man, Black Dynamite, who's out to avenge the death of his brother against kung-fu masters, drug-dealing pimps, and The Man.","Michael Jai White, Byron Minns, Kym Whitley, Tommy Davidson",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Destination Fear,"Adventure, History, Horror",42 min,7.1,"1,697",(2019–2023),Certificate N/A,"Maverick paranormal explorer Dakota Laden takes his sister, Chelsea, and best friend, Tanner, across the country in an RV to spend the night in the most haunted locations in America, testing the limits of human fear.","Dakota Laden, Chelsea Laden, Tanner Wiseman, Alex Schroeder",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Tomb Raider,"Animation, Action, Adventure",Run Time N/A,Rating N/A,Votes N/A,(2023– ),Certificate N/A,Follows heroine Lara Croft as she explores new territory.,"Hayley Atwell, Allen Maldonado, Earl Baylon",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Wedding Season,"Action, Adventure, Comedy",Run Time N/A,6.5,"1,751",(2022– ),Certificate N/A,"We meet Katie on her wedding day, surrounded by the dead bodies of her new husband and every member of his family. The police think Katie's lover Stefan did it. Stefan thinks Katie did it. ...                See full summary »","Gavin Drea, Rosa Salazar, Jade Harrison, Jamie Michie",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Super Friends,"Animation, Action, Adventure",60 min,7.2,"4,413",(1973–1985),Certificate N/A,The greatest of the DC Comics superheroes work together to uphold the good with the help of some young proteges.,"Danny Dark, Casey Kasem, Olan Soule, Shannon Farnon",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Pacific Rim,"Animation, Action, Adventure",24 min,7.1,"5,839",(2021–2022),Certificate N/A,"After Kaiju ravage Australia, two siblings pilot a Jaeger to search for their parents, encountering new creatures, seedy characters and chance allies.","Gideon Adlon, Calum Worthy, Erica Lindbeck, Victoria Grace",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Guimi Zhi Zhu,"Animation, Action, Adventure",Run Time N/A,Rating N/A,Votes N/A,(2025– ),Certificate N/A,"In the fogs of history and darkness, who was whispering? When the gray fog falls, who is whispering in the ear. The light still shines, the mystery has never been far away.",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Chip 'n Dale: Rescue Rangers,"Animation, Action, Adventure",22 min,7.6,"20,924",(1989–1990),Certificate N/A,Disney's fun-loving chipmunks are re-imagined as the leaders of a team of pint-sized crime-fighters.,"Tress MacNeille, Corey Burton, Jim Cummings, Peter Cullen",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Fate/stay night,"Animation, Action, Adventure",23 min,7.3,"6,267",(2006),Certificate N/A,Amateur mage Shirou Emiya gets involved in a fight between mages using mythological heroes.,"Noriaki Sugiyama, Kate Higgins, Kari Wahlgren, Liam O'Brien",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Cyberchase,"Animation, Adventure, Comedy",30 min,6.9,"2,839",(2002– ),Certificate N/A,"Three kids, Jackie, Matt, Inez, and their bird friend Digit, must save cyberspace from the evil Hacker with the use of strategy and math skills.","Christopher Lloyd, Novie Edwards, Annick Obonsawin, Jacqueline Pillon",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Jekyll and Hyde,"Action, Adventure, Drama",60 min,6.8,"2,967",(I) (2015),Certificate N/A,"10-part drama set in 1930s London focusing on Robert Jekyll, the grandson of the original doctor. The show will follow Robert Jekyll's quest to discover his real identity and the true nature of his family's cursed history.","Tom Bateman, Donald Sumpter, Stephanie Hyam, Natalie Gumede",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Man from Atlantis,"Adventure, Fantasy, Sci-Fi",60 min,6.5,"2,668",(1977–1978),Certificate N/A,"The adventures of an amphibious man, the last survivor of the legendary sunken city.","Patrick Duffy, Alan Fudge, Belinda Montgomery, Richard Laurance Williams",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Littlest Hobo,"Adventure, Drama, Family",Run Time N/A,7.7,"1,276",(1979–1985),Certificate N/A,The wandering adventures of an intelligent German shepherd dog.,"London, Harvey Atkin, Allan Royal, Ted Follows",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Fast & Furious Spy Racers,"Animation, Action, Adventure",23 min,5.9,"1,663",(2019–2021),Certificate N/A,A team of teenage street racers are hired to infiltrate a criminal gang.,"Tyler Posey, Charlet Takahashi Chung, Jorge Diaz, Luke Youngblood",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Dragon Age: Absolution,"Animation, Action, Adventure",30 min,6.4,"3,448",(2022– ),Certificate N/A,"Set in the Tevinter Empire, the oldest of several human nations in Thedas explore the experiences of its different inhabitants.","Kimberly Brooks, Phil LaMarr, Ashly Burch, Sumalee Montano",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Rocket Power,"Animation, Action, Adventure",30 min,6.8,"10,143",(1999–2004),Certificate N/A,"Four friends and their daily lives of playing extreme sports, surfing, and getting into some crazy situations.","Joseph Ashton, Shayna Fox, John Kassir, Ray Bumatai",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Ben & Holly's Little Kingdom,"Animation, Adventure, Comedy",10 min,7.4,"1,453",(2009–2013),Certificate N/A,The friendship between fairy princess Holly and Ben Elf in the magical Kingdom of elves and fairies.,"Preston Nyman, Sian Taylor, Sarah Ann Kennedy, Ian Puleston-Davies",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Napoléon,"Adventure, Biography, Drama",380 min,7.3,"4,641",(2002),Certificate N/A,"A masterful soldier, tactician and statesmen, Napoleon Bonaparte's courage and love for his country sees him rise from an unpaid general consumed with ambition to the most powerful man in Europe, then his fall, and exile","Christian Clavier, Isabella Rossellini, Gérard Depardieu, John Malkovich",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Going Postal,"Adventure, Comedy, Fantasy",185 min,7.7,"9,527",(2010),Certificate N/A,A con artist is conned into taking the job as Postmaster General in the Ankh-Morpork Post Office.,"Richard Coyle, Charles Dance, David Suchet, Claire Foy",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Hit-Monkey,"Animation, Action, Adventure",22 min,7.8,"8,253",(2021),Certificate N/A,"It tells the tale of a wronged Japanese snow monkey, mentored by the ghost of an American assassin, as he cuts a wide swath through the Tokyo underworld.","Fred Tatasciore, Jason Sudeikis, Olivia Munn, George Takei",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Super Why!,"Animation, Adventure, Family",30 min,6.0,"1,054",(2007–2016),Certificate N/A,A group of characters who live at a library turn into superheroes and then go into books; using early reading skills to save the day. They later use a problem from the story one of them faced and apply it to their own lives.,"Tajja Isen, Siera Florindo, Zachary Bloch, Nicholas Castel Vanderburgh",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Impact,"Action, Adventure, Drama",187 min,5.5,"3,515",(2009),Certificate N/A,"A luminary crashes on the moon, causing to change its orbit and head straight toward Earth. With less than 40 days, scientists become in a desperate race to launch a lunar mission that will save both planets from mutual destruction","David James Elliott, Natasha Henstridge, Benjamin Sadler, Florentine Lahme",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Supernatural: The Animation,"Animation, Action, Adventure",23 min,7.4,"2,169",(2011),Certificate N/A,"After losing their mother to a demon, two brothers grow up fighting supernatural beings.","Jared Padalecki, Annakin Slayd, Yûya Uchida, Hiroki Tôchi",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Fraggle Rock,"Adventure, Comedy, Family",30 min,7.9,"8,092",(1983–1987),Certificate N/A,The adventures of the various inhabitants of an underground civilization.,"Karen Prell, Gerard Parkes, Kathryn Mullen, Jerry Nelson",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Danger Man,"Action, Adventure, Crime",49 min,8.2,"1,477",(1964–1967),Certificate N/A,"John Drake is a special operative for M9, specializing in security assignments against any subversive element that threatens world peace.","Patrick McGoohan, Peter Madden, Peter Brayham, Earl Cameron",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Santo,"Action, Adventure, Crime",45 min,5.0,"1,027",(2022– ),Certificate N/A,"Santo is a drug dealer whose face has never been revealed. Two policemen who go after him, Millán and Cardona, radically opposed, will have to learn to collaborate to solve the case and keep their lives safe.","Raúl Arévalo, Bruno Gagliasso, Victoria Guerra, Greta Fernández",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Adventures of the Gummi Bears,"Animation, Adventure, Family",30 min,7.5,"11,528",(1985–1991),Certificate N/A,A group of reclusive humanoid bears and a few trusted humans explore their lost heritage and prevent their enemies from exploiting it.,"June Foray, Noelle North, Lorenzo Music, Katie Leigh",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Yakamoz S-245,"Action, Adventure, Drama",45 min,6.2,"7,825",(2022),Certificate N/A,"After disaster strikes Earth, a marine biologist on a submarine research mission must fight to survive with the crew as a conspiracy comes to light.","Kivanç Tatlitug, Jerry Hoffmann, Ecem Uzun, Özge Özpirinçci",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Planet of the Apes,"Adventure, Sci-Fi, Thriller",47 min,7.1,"5,143",(1974),Certificate N/A,Two astronauts and a sympathetic chimp friend are fugitives in a future Earth dominated by a civilization of humanoid apes.,"Roddy McDowall, Ron Harper, James Naughton, Mark Lenard",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Flash Gordon,"Action, Adventure, Drama",60 min,4.8,"3,170",(2007–2008),Certificate N/A,"Hometown Celebrity Steven ""Flash"" Gordon discovers a secret his father tried desperately to keep hidden. He then embarks on a journey to another dimension in hopes of finding his father who...                See full summary »","Eric Johnson, Gina Holden, Karen Cliche, Jody Racicot",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Dark Skies,"Adventure, Drama, Mystery",60 min,7.5,"2,286",(1996–1997),Certificate N/A,"In 1960s America, a young couple struggle to expose the truth about a hidden alien invasion, while a secret government organization follows its own agenda in dealing with the threat.","Eric Close, J.T. Walsh, Lackos, Megan Ward",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Thundercats,"Animation, Action, Adventure",Run Time N/A,7.8,"7,463",(2011–2012),Certificate N/A,"After his home kingdom is destroyed by the ancient devil priest Mumm-Ra, the young Thundercat Lord Lion-O leads a team of survivors as they fight evil on Third Earth.","Will Friedle, Matthew Mercer, Kevin Michael Richardson, Emmanuelle Chriqui",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Isekai ojisan,"Animation, Adventure, Comedy",25 min,7.4,"1,949",(2022–2023),Certificate N/A,"Takafumi's uncle wakes after a 17-year coma. He had actually gone to another world, and has returned with magical powers. But now that he's back, Takafumi must help him to survive in his home world.","Takehito Koyasu, Victoria Grace, Feodor Chin, Jun Fukuyama",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Red vs. Blue,"Animation, Short, Action",6 min,8.4,"9,657",(2003–2023),Certificate N/A,"After the Halo event of 2552, there is a brief but violent period of civil war among the humans. Two armies on opposite sides of a canyon, the Reds and Blues, fight in the most worthless piece of real estate in the galaxy.","Gustavo Sorola, Matt Hullum, Burnie Burns, Geoff Ramsey",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Big Hero 6: The Series,"Animation, Action, Adventure",21 min,7.2,"2,383",(2017–2021),Certificate N/A,"Teen genius Hiro Hamada, Baymax the robot, and their friends defend the city of San Fransokyo as superheroes.","Scott Adsit, Ryan Potter, Brooks Wheelan, Khary Payton",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
He-Man and the Masters of the Universe,"Animation, Action, Adventure",26 min,5.9,"2,114",(2021–2022),Certificate N/A,"Eternia's Prince Adam discovers the power of Grayskull and transforms into He-Man, Master of the Universe. A reimagining of the classic animated series.","David Kaye, Yuri Lowenthal, Antony Del Rio, Kimberly Brooks",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Wars: Forces of Destiny,"Animation, Action, Adventure",3 min,5.4,"2,460",(2017–2018),Certificate N/A,Small moments and everyday decisions shape a larger heroic saga.,"Lupita Nyong'o, Ashley Eckstein, Vanessa Marshall, Shelby Young",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Yu yu hakusho,"Action, Adventure, Comedy",Run Time N/A,Rating N/A,Votes N/A,(2023– ),Certificate N/A,A delinquent teenager is killed and gets resurrected to serve as an investigator of the supernatural.,"Takumi Kitamura, Kanata Hongô, Jun Shison, Shûhei Uesugi",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
El barco,"Adventure, Drama, Mystery",75 min,7.2,"5,066",(2011–2013),Certificate N/A,"A global cataclysm, caused by a fatal accident in Geneva (Switzerland) during the implementation of the particle accelerator will lead to crew of vessel-school Estrella Polar to live the adventure of their lives.","Juanjo Artero, Mario Casas, Blanca Suárez, Irene Montalà",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Edens Zero,"Animation, Action, Adventure",25 min,7.2,"1,823",(2021– ),Certificate N/A,"A young boy cut off from the world meets his friends and sets off on a hard, long journey to be reborn.","Takuma Terashima, Mikako Komatsu, Rie Kugimiya, Kira Buckland",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Guardians of the Galaxy,"Animation, Action, Adventure",22 min,7.3,"3,394",(I) (2015–2019),Certificate N/A,The adventures of a band of space warriors who work to protect the universe from the evil overlord Thanos.,"Kevin Michael Richardson, Vanessa Marshall, David Sobolov, Will Friedle",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Life and Times of Grizzly Adams,"Adventure, Family, Western",60 min,7.5,"1,684",(1977–1978),Certificate N/A,An innocent fugitive from the law lives in the wilderness with a grizzly bear companion and helps passers-by in the forest.,"Dan Haggerty, Denver Pyle, Bozo the Bear, Don Shanks",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Flipper,"Action, Adventure, Drama",60 min,5.3,"1,088",(1995–2000),Certificate N/A,Dr. Keith Ricks returns to Florida to lead a team of scientists studying dolphins.,"Whip Hubley, Anja Coleby, Gus Mercurio, Darrin Klimek",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
I Spy,"Action, Adventure",51 min,7.2,"2,400",(1965–1968),Certificate N/A,A pair of intelligence agents posing as a tennis pro and his coach go on secret missions around the world.,"Robert Culp, Bill Cosby, Kenneth Tobey, Arthur Batanides",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Danger 5,"Action, Adventure, Comedy",24 min,8.3,"4,835",(2011–2015),Certificate N/A,"It's Christmas in the 1980s, Adolf Hitler is alive and has two Yuletide wishes: Danger 5 dead and the world under his Christmas tree.","David Ashby, Sean James Murphy, Natasa Ristic, Amanda Simons",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The New Adventures of Winnie the Pooh,"Animation, Short, Adventure",30 min,7.6,"4,551",(1988–1991),Certificate N/A,Follow Winnie the Pooh's adventures in the Hundred Acre Wood.,"John Fiedler, Jim Cummings, Ken Sansom, Paul Winchell",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"Jitsu wa Ore, Saikyou deshita?","Animation, Adventure, Fantasy",Run Time N/A,6.7,189,(2023– ),Certificate N/A,"To be reincarnated into another world with the promise of a ""cheat"" power is one thing... but to be reborn as a baby, and then left for dead after your royal parents think you're powerless?...                See full summary »","Ayumu Murase, Nobuhiko Okamoto, Atsumi Tanezaki, Yûko Kaida",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Mahha GoGoGo,"Animation, Action, Adventure",30 min,7.2,"3,206",(1967–1968),Certificate N/A,"Teenager Gô Mifune aspires to be the world's best race-car champion with the help of his friends, family and his father's high-tech race-car, the Mach 5.","Katsuji Mori, Peter Fernandez, Corinne Orr, Jack Grimes",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Baymax!,"Animation, Short, Action",12 min,7.2,"8,182",(2022),Certificate N/A,"The characters in the unique city of Big Hero 6 get their own series, packed with adventures.","Scott Adsit, Ryan Potter, Dichen Lachman, Sarah-Nicole Robles",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Long Way Round,"Documentary, Adventure",315 min,8.6,"14,824",(2004–2010),Certificate N/A,"Ewan McGregor and Charley Boorman embark on a grueling quest to motorbike from London to New York. Going east through Europe, Asia and then to Alaska, they experience different cultures and have to overcome the elements and adversity.","Ewan McGregor, Charley Boorman, David Alexanian, Claudio von Planta",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Little Bear,"Animation, Adventure, Comedy",24 min,7.3,"4,299",(1995–2003),Certificate N/A,"Based upon a series of children's books, a grizzly cub has many misadventures with his friends.","Kristin Fairlie, Andrew Sabiston, Jennifer Martini, Tracy Ryan",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
El dragón,"Action, Adventure, Drama",45 min,6.8,"2,033",(2019–2020),Certificate N/A,"After the murder of his parents when he was a little kid, Mexican Miguel Garza is sent away to Japan. 20 years later, he has to go back to his home country as the new heir of his family's cartel.","Sebastián Rulli, Renata Notni, Manuel Balbi, Cassandra Sanchez Navarro",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Worst Witch,"Adventure, Comedy, Drama",30 min,7.2,"1,697",(1998–2001),Certificate N/A,"The adventures of Mildred Hubble, a witch attending Cackles Academy. She's called the ""Worst Witch"" because she's always caught getting into trouble.","Kate Duchêne, Georgina Sherrington, Emma Brown, Clare Coulter",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Letter for the King,"Action, Adventure, Family",Run Time N/A,6.0,"8,119",(2020),Certificate N/A,"Tiuri, a teenage squire, answers a call for help that sends him on a perilous mission across the three kingdoms to deliver a secret letter to the King.","Amir Wilson, Ruby Ashbourne Serkis, Thaddea Graham, Islam Bouakkaz",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Centaurworld,"Animation, Short, Adventure",25 min,7.7,"2,543",(2021),Certificate N/A,"A hardened war horse transported away from battle finds herself in a land that's inhabited by silly, singing centaurs of all shapes and sizes.","Megan Dong, Pinelopi Skalkotou, Parvesh Cheena, Chris Diamantopoulos",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Nine Lives of Chloe King,"Action, Adventure, Crime",441 min,7.0,"10,495",(2011),Certificate N/A,A girl with special cat-like powers is being hunted by an assassin.,"Skyler Samuels, Gracie Gillam, Ki Hong Lee, Benjamin Stone",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Mysteries at the Museum,"Documentary, Adventure, Biography",60 min,8.1,"1,301",(2010– ),Certificate N/A,The stories behind interesting and unusual artifacts stored in museums are told.,"Don Wildman, Seth Porges, Katherine Weatherford, Joshua Levine",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Tremors,"Action, Adventure, Comedy",60 min,6.5,"3,042",(2003),Certificate N/A,Small town notices weird deaths in the desert. There are giant worms under the sand. They can hear the location of people through the vibration of their movement. Finally they blow them up with dynamite.,"Victor Browne, Gladise Jiminez, Marcia Strassman, Lela Lee",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Voltron: Defender of the Universe,"Animation, Adventure, Family",24 min,7.9,"5,037",(1984–1985),Certificate N/A,This series focuses on five lion robots and their pilots as they fight the evil forces of King Zarkon and Prince Lotor.,"Peter Cullen, Michael Bell, Lennie Weinrib, Jack Angel",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
CatDog,"Animation, Adventure, Comedy",23 min,6.5,"24,351",(1998–2005),Certificate N/A,"The comic misadventures of a tidy, refined Cat and a goofy, uncouth Dog joined at the abdomen.","Jim Cummings, Tom Kenny, Carlos Alazraqui, Billy West",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Spider-Man,"Animation, Action, Adventure",21 min,6.9,"5,848",(2003),Certificate N/A,A young man with spider like abilities fights crime as a superhero in New York City while trying to have a normal personal life.,"Neil Patrick Harris, Lisa Loeb, Ian Ziering, SuChin Pak",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Milo Murphy's Law,"Animation, Short, Action",12 min,7.6,"3,267",(2016–2019),Certificate N/A,"An animated comedy adventure series that follows 13-year-old Milo Murphy, the fictional great-great-great-great grandson of the Murphy's Law namesake. Additionally, Dakota and Cavendish come from the future to prevent pistachio extinction.","'Weird Al' Yankovic, Sabrina Carpenter, Mekai Curtis, Dan Povenmire",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Firebuds,"Animation, Short, Action",23 min,5.7,136,(2022– ),Certificate N/A,"Follow a boy and his fire truck in a fantasy world where talking vehicles live, work and play with the humans who drive them as they team up with their friends and teamwork to help their community.","Declan Whaley, Vivian Vencer, Jecobi Swain, Terrence Little Gardenhigh",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
El Turco,"Action, Adventure, Drama",Run Time N/A,Rating N/A,Votes N/A,(2023– ),Certificate N/A,"The story of Balaban, a soldier in the Janissary army, who settles in Moena in northern Italy after the Battle of Vienna in 1683 and fights for the rights of the local people.","Can Yaman, Nigel Pilkington, Robert Holik, Greta Ferro",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Alice,"Adventure, Drama, Fantasy",184 min,7.2,"9,712",(2009),Certificate N/A,"Everything you know about Alice's Adventures in Wonderland is about to be turned upside down in this modern-day mini-series. The cast includes Kathy Bates, Caterina Scorsone, Matt Frewer, Harry Dean Stanton, and Tim Curry.","Caterina Scorsone, Andrew Lee Potts, Matt Frewer, Kathy Bates",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Isis,"Adventure, Family, Fantasy",30 min,6.7,"1,168",(1975–1976),Certificate N/A,An archaeologist gains an amulet that allows her to transform into the superheroine goddess Isis and fight evil.,"JoAnna Cameron, Brian Cutler, Joanna Pang, Ronalda Douglas",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Mike Tyson Mysteries,"Animation, Adventure, Comedy",12 min,8.2,"5,396",(2014–2020),Certificate N/A,"In this macabre comedy, retired boxing champion Mike Tyson, his brainy adopted Asian-American daughter, a friendly but wimpy gay gentleman ghost and a cursed perverse mean-spirited talking pigeon solve weird mysteries together.","Mike Tyson, Norm MacDonald, Rachel Ramras, Jim Rash",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Grand Blue,"Animation, Adventure, Comedy",24 min,7.8,"3,845",(2018),Certificate N/A,"A college student spends his year at the seaside town of Izu, having fun on the beach with his school friends.","Yuma Uchida, Ryohei Kimura, Hiroki Yasumoto, Katsuyuki Konishi",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
El tiempo entre costuras,"Adventure, Drama, History",853 min,8.3,"4,483",(2013–2014),Certificate N/A,"The life of Sira, a dressmaker consumed by the love of a man, left the turmoil of Madrid prior to the Civil War at Tangier, where she inadvertently becomes part of an espionage scheme.","Adriana Ugarte, Mari Carmen Sánchez, Tristán Ulloa, Francesc Garrido",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Catweazle,"Adventure, Comedy, Family",30 min,7.8,"1,089",(1970–1971),Certificate N/A,A medieval wizard (though not a very good one) is transported to the modern age.,"Geoffrey Bayldon, Robin Davies, Gary Warren, Charles 'Bud' Tingwell",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Kidô senshi Gandamu,"Animation, Action, Adventure",30 min,7.9,"2,593",(1979–1980),Certificate N/A,"In the war between the Earth Federation and Zeon, a young and inexperienced crew find themselves on a new spaceship. Their best hope of making it through the conflict is the Gundam, a giant humanoid robot, and its gifted teenage pilot.","Hirotaka Suzuoki, Tôru Furuya, Toshio Furukawa, Kiyonobu Suzuki",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Boss Baby: Back in Business,"Animation, Adventure, Comedy",25 min,6.5,"4,131",(2018–2021),Certificate N/A,"With a little help from his brother and accomplice, Tim, Boss Baby tries to balance family life with his job at Baby Corp headquarters.","Pierce Gagnon, JP Karliak, David W. Collins, Flula Borg",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
